	3A_1_log2FC	3A_1_padj	3A_12_log2FC	3A_12_padj	3Amk_1_log2FC	3Amk_1_padj	3Amk_12_log2FC	3Amk_12_padj
rpsT	-0.22224400224124	0.802068707629959	-1.99913141917439	4.63707577281258e-05	-0.308899852088427	0.660230691430452	2.72284341444734	1.64402148829771e-09
yaaY	-1.31307660450872	0.52906312500216	-2.09244337203114	0.123936064963003	0.489229301149856	0.830507111195335	-3.10482451380245	0.020461508455362
ribF	0.752765190023643	0.0178342121702703	0.564178756382313	0.0713236837281323	0.605729062850399	0.0613705013810878	0.268545642383404	0.430318475561788
ileS	0.613872817930688	0.00233656308293821	-0.509680362129828	0.00907530370241424	0.227389765110189	0.362324430527298	-1.33685359478345	5.24782806780168e-14
lspA	0.234546387448208	0.692198239099079	-1.12855510774611	0.00123322303965722	0.0012877145098248	0.998550854240579	-1.91995848413849	1.4586026181101e-08
fkpB	-0.410627434022415	0.540365390673019	-1.64046061289158	5.9872552980743e-05	-0.493279695712076	0.366079625164692	-3.47438007228165	1.18110483986657e-17
ispH	-0.339880223568543	0.732246305946583	-1.29075307613233	0.0225868489742781	0.021640904874988	0.98297787670844	-2.60110506535139	1.48434808250638e-06
rihC	1.85243215913169	0.000215340895351024	-1.70039868671956	0.0100836966919931	1.86042232911452	0.000185124597709459	-0.568999999930168	0.422730232937361
dapB	0.254224465366045	0.852943315394506	4.13365320225785	0.0265101142557106	-1.86464355293345	0.0157099585766663	5.32348577381947	0.00306349737004673
ECDH1ME8569_0029	NA	NA	NA	NA	NA	NA	NA	NA
carA	-0.1677175791584	0.87824868633874	-0.866502897984576	0.499681716198132	1.21447990437558	0.0322834181265286	4.36318725771012	2.46936236103995e-06
carB	0.082385053889399	0.881624322969395	-0.945237586620151	0.0901583394167632	0.222822070402004	0.5538313416881	4.2762045654408	4.33161828766548e-24
ECDH1ME8569_0032	0.620516985595316	NA	-2.33853773340375	NA	5.2115074536991	NA	-2.1273403744674	NA
caiF	-0.184216150572289	0.944334941513172	-3.35757544735888	0.0330365280663119	-1.17575240126317	0.470677156934946	-1.14582468920703	0.458725540240829
caiE	0.287797624066085	NA	-2.33856629093962	NA	1.29071806630768	NA	-0.510485545071215	NA
caiD	0.911041646642029	NA	0.0348663377915088	NA	-2.63978605214626	NA	-0.505430805136213	NA
caiC	0.457147203218418	0.836472320668901	3.62045743703428	0.0717230235753193	0.0533310010916341	0.981768364416065	2.08327623362729	0.336378487280297
caiB	-0.234016672757537	0.858818470217641	-1.89007721048695	0.0063911035335671	0.695504783683081	0.410332916667666	-2.26024948658958	0.00117048013387198
caiA	-0.338573138988522	0.770540561506429	-1.47659820132861	0.0303389332154678	0.33273967746058	0.744024344071668	-1.14069819053313	0.103497606770813
caiT	0.796269170708492	0.795644667245083	0.637286960423639	0.825667107790897	1.13152184021676	0.639943013627517	1.6240735907141	0.540230588862032
fixA	1.94009172140609	0.628927707415799	2.62411253191316	0.430593227858503	-0.896011204349143	0.840774550990049	1.86931969442408	NA
fixB	1.58628631761592	NA	-0.913309632389404	NA	-2.37511270737492	NA	-2.12737455137864	NA
fixC	1.97220191258986	NA	-2.33853773340375	NA	4.55122187523228	NA	-2.1273403744674	NA
fixX	5.06554473389022	NA	-2.33853773340375	NA	0.79195800828855	NA	-2.1273403744674	NA
yaaU	1.08272340113651	0.672853545262911	2.58191127570433	0.295964398697324	1.40504499348072	0.491992416457699	2.38151628135991	0.337503586818356
kefF	0.706593186047588	0.6817801217022	-1.0150282870684	0.480661205573691	-1.76066292322551	0.160391045193441	1.2774357793487	0.329114996020287
kefC	-0.337076096324146	0.724600772881162	-1.0394528768835	0.171127013012463	-0.465211559257771	0.53395556005958	0.738301525950887	0.322363571956212
folA	-0.982113951981557	0.132809000498295	0.460544575531045	0.483880252089231	-1.09526934493435	0.0666248563489704	-0.818380807321617	0.190592349418515
apaH	-1.22032387638734	0.00278033915893901	-0.0233764177956244	0.972426118919565	0.688719884637679	0.113601591477567	-1.36542209645048	0.00156994980984447
apaG	-1.42994719629396	0.286776728926132	1.06916488548198	0.356911468360394	-1.34508777576622	0.275309389555594	-0.0519875909373939	0.970222192273255
ksgA	-0.483805140155915	0.326198732079478	1.53845504128041	3.11660134300475e-05	0.670158946137689	0.0952996645077749	-0.110515061118733	0.825457252089153
pdxA	-0.146846751508107	0.904321423154742	1.39067349381976	0.0937520368159864	0.215564684029479	0.823929222643895	1.26207985694693	0.135079629615236
surA	0.0263684951972019	0.967481428446921	0.783336950906473	0.00370110002461608	-0.0205748225774971	0.966170612862533	-0.163658579365206	0.611704623949969
imp	-0.045288938924033	0.910804454896124	0.916744152358285	2.03336078131445e-07	-0.33883985161678	0.108850567771388	-0.41780437239627	0.03338393941325
djlA	1.22193940888456	0.146854383327438	2.07920329812575	0.289576189263589	0.871394555388779	0.305844255395918	2.11719382681065	0.275669400351005
yabP	0.937051751012602	0.0921843144111729	0.696934559837017	0.231469272559293	0.86461185175291	0.103497343389802	-0.411400585024038	0.513571531043901
yabQ	0.829088785965642	0.647257042308579	1.1754405517702	0.469651831273711	0.662249599190205	0.692039854056201	0.862631334049439	0.602920811876154
rluA	-1.59734463414516	0.0102882855187932	-3.14653473334436	6.13918213781448e-10	-0.406010629874255	0.630564859763562	-3.12034528775417	9.66578104435809e-10
hepA	-0.793918730767354	0.00165122169303045	-2.79634001937394	3.83396136111443e-41	0.956684374069874	4.44299817882944e-05	-3.26135880021035	4.37017915355055e-55
polB	0.192297700522404	0.723174791088359	-3.21179725464449	2.82546428672262e-32	0.772166755320514	0.0163966047898251	-1.69727634002754	8.30659066378685e-10
araD	0.620523866058382	NA	2.45891263894402	NA	4.7004840019357	NA	1.57425755184688	NA
araA	1.13737057945462	0.71095821550053	2.84224733346481	0.26943808677562	3.30689367222967	0.0830183989451568	3.16084155660708	0.206503357397574
araB	-2.54834940959141	0.572056768294536	-2.33857601119432	NA	-2.49515561002433	0.527066386323846	2.1434545829523	NA
araC	-1.74435725628471	0.112243252218447	5.09937869803601	0.00442664680571723	-1.2313634787715	0.262539518803906	2.45724315327113	0.214406609320887
yabI	-0.703485002801711	0.559260511333146	-0.916078141460835	0.308701441427442	-0.154588807385869	0.918733205351029	-0.781142294199402	0.387912995994991
thiQ	-2.98805562504206	0.532863688308908	-3.73016426233936	0.312237936243602	3.36418652440393	0.287847692641003	0.147794173367781	0.970222192273255
thiP	0.467567642850086	0.835136751103066	-2.33858049050114	0.434846600954889	-0.2961230464973	0.897190723188886	4.80973999344144	0.0188391876753891
tbpA	-0.739184402681293	0.688896286743491	-2.02448109635764	0.103367613060442	0.547327339160405	0.748237371956406	-0.114183985008791	0.93702183152984
setA	0.683495214120011	0.345478554625797	1.93697027957781	0.0360053133940939	0.092262706741498	0.93115873120078	2.42726362117492	0.00685515249890612
leuD	0.617604048717526	0.434544362162997	3.42537055141478	1.56703851036003e-08	-1.32711703935772	0.0260995986916825	-0.516659569275125	0.518899783722851
leuC	0.347106857131201	0.534349195039604	3.19518135607172	5.78970451590302e-17	-2.16267919354428	4.34171762055723e-10	-0.707023389314191	0.139217145295895
leuB	0.580372797246052	0.339917494745443	2.96797073068959	2.65560803617157e-09	-0.0923800977168393	0.918003476559856	-0.221418839003801	0.745684014344033
leuA	0.176213523537012	0.864612209042269	2.81407000088576	4.08529478282232e-07	0.24953653990564	0.771047934566888	-0.555296178062184	0.434300048441889
leuL	2.15143416443459	0.66536579769926	-2.33857511938151	NA	-0.271284340493976	0.964088777365528	1.1244150849924	NA
leuO	2.38263126040836	0.466550601524414	2.93777728551072	0.330710949956674	2.11247846804028	0.470636133730933	1.85968907672204	0.559189970762494
ilvI	0.679950334327499	0.426977106074705	-0.260229719666626	0.769444703760142	-0.896446201582693	0.211990912709839	-0.591308302402888	0.460599115455682
ilvH	1.08990740935898	0.12137990105083	1.35771772950136	0.506378771001293	-0.11250451446736	0.926647613032861	2.82888290743261	0.119445030101241
fruR	0.896371274379161	0.0315521828310294	-1.18686353363059	0.00743290702005703	0.416135731013662	0.387220866168338	-0.721102408200394	0.122171394488918
mraZ	0.614210557966202	0.276943505100995	-0.46140148735062	0.416461526040743	-0.324653251677178	0.59958995465864	0.517622945038241	0.340556257343597
mraW	-0.519921875749507	0.247277100148029	0.89781038116156	0.0585914392146634	-1.1393296222713	0.00103714040957548	0.248121971324936	0.652327961203956
ftsL	-0.0412509073193381	0.968196758847053	0.891991020749515	0.0774632585302632	-0.511031481316816	0.345205760375543	-0.319029745702168	0.579694493949194
ftsI	0.639650236009755	0.195539799607258	1.57492963817102	0.0075400756403073	-0.260679751002345	0.661039247503694	1.19465568196034	0.0524313601313178
murE	-0.350239405067737	0.427138494127853	1.05327862776604	0.00874910751311012	-0.879728040269342	0.00505053589042323	0.676657862244651	0.114694253443448
murF	-0.399520849348586	0.323202425267143	0.469993713798068	0.20583709526532	-0.653884699589104	0.0423287887182197	-0.28145186817324	0.481865744668795
mraY	-0.185820423417391	0.794738900766082	-0.101525810249914	0.870666645285774	-0.80762755693074	0.0538718849189375	0.444951976625258	0.415337916258633
murD	0.0409062215483828	0.947475678729969	1.03989851525875	0.0189209862817764	-0.613455415330752	0.0599215961749097	-0.0424181020154545	0.942002321281007
ftsW	0.696199456548519	0.091382974272007	1.10735899122437	0.063932778646631	-1.07068817697398	0.00323140104444088	0.594337895551962	0.362380976932056
murG	-0.103233691084688	0.938813989853216	1.10013986033509	0.188288999190012	-0.898016882171048	0.200510207998085	1.23247850922603	0.135079629615236
murC	-0.342213359056255	0.585693173821849	0.216178400883332	0.706493340049695	-0.629261040905369	0.172979503903726	-0.249468747919804	0.652327961203956
ddlB	-0.0739484151538028	0.927670536284259	0.556717109676848	0.217193592169877	-0.725820118089996	0.0821124995150979	1.07969334750702	0.00906191222135449
ftsQ	-0.867918104395689	0.00555645135361105	-0.0785678388782696	0.856244154590464	-1.29889832292791	5.80670135048325e-06	-0.229773590776478	0.564369494507229
ftsA	-0.565905015093929	0.0491376402626944	0.807463136813205	0.00379179494094335	-1.02763388370275	2.35581914740206e-05	0.720955900075911	0.0109256303230973
ftsZ	-0.46728948401154	0.314658708485368	0.722332629365121	0.0448768762635362	-0.900401916420374	0.0119101458421637	-0.697971100618939	0.056638889014005
lpxC	-0.245954958476435	0.416098150124179	-1.52289079688773	5.2171825107544e-16	-0.78150301653346	0.000143365160568827	-1.5743034660314	4.85890366433451e-17
secM	0.225954709835064	0.697801234268118	-1.88227275103665	2.95894862126996e-09	-0.147359276443694	0.797728024129919	-0.936353377161232	0.00595949446993533
secA	1.07478907348178	0.000147239898581512	-1.57803538694881	3.31456632762158e-09	1.59288950776623	2.01077827196818e-09	-0.953841620633017	0.000718499413301879
mutT	0.397595958174611	0.781982433185051	-1.94457805850529	0.0684050923012467	0.218919169466617	0.883902877290734	-0.236865519763531	0.843265400811701
yacG	0.663478752478506	0.478450902817867	-0.207614039701186	0.814947940960124	1.2927800181851	0.0578031576568685	0.288401707857652	0.734174287133649
yacF	0.102404179702215	0.869693467469513	-0.0760265675158699	0.870666645285774	0.590610384592391	0.0848587574674099	-0.948274625659638	0.0130154297803287
coaE	-0.389061724301731	0.739438630851537	1.98684313251755	0.0219745271021376	-0.70475692076839	0.407647554488786	1.41296797813967	0.12138854431037
hofC	-0.0965085997777081	0.975097793692894	1.12884274979938	0.702019275910456	0.762912755034358	0.765748113870966	2.61519459796002	0.299813458527225
hofB	0.18561184736224	0.944767003587717	-1.58892195247123	0.245570771039402	0.212675452229691	0.93115873120078	-1.36115762856022	0.323395983080799
ppdD	0.620516985595313	NA	-2.33853773340375	NA	0.791958008288548	NA	-2.1273403744674	NA
nadC	0.564523906613925	0.410770036433273	0.942232397512632	0.188288999190012	-0.322217082304635	0.651898823015513	1.4277555310319	0.0351724884742333
ampD	0.538078987364	0.775792789712991	-1.21586098806412	0.336195082294124	0.0753752215892887	0.968169654183169	-1.09143626117143	0.387027157230608
ampE	0.0369076306815642	0.981106285960263	-0.917937135256508	0.297632653325553	-1.11686731883089	0.219896540450333	-1.44971572685032	0.085305688275304
aroP	0.49949987283227	0.32832102234183	0.157080125423098	0.784008043533245	0.522704832047996	0.248287265622491	-0.554506095367223	0.266374370741078
pdhR	2.55961756954538	1.17290826433427e-12	-1.22584965819411	0.00169792570126721	4.36718675346662	8.67263817288785e-37	-0.621119787961392	0.14017116935005
aceE	1.66825471328188	1.22344890287714e-08	1.04315829686214	0.000632206589405713	3.43119469356652	1.58583310978315e-35	0.776174389786089	0.0142049291526722
aceF	1.33658160465961	1.69029666558885e-06	0.0269149864637819	0.955262706182252	3.0192289622929	4.94368319827e-32	0.916058842131718	0.00353636701650488
lpd	0.790018803944976	0.0302617558567312	-0.0194889686373167	0.971563459788974	1.97941428737144	3.18474811849576e-11	0.635375365853944	0.0681131440410301
yacH	-4.7319625607788	0.0793570426073541	-3.0270312467617	0.0733542707543374	0.675323953187172	0.809368729583692	-2.52263692557399	0.142266898548158
acnB	-0.116199549368161	0.829859197740191	1.40166632718474	1.74052881435448e-07	0.547898471313936	0.0831701299390397	0.930197885814669	0.00102249603968349
yacL	0.150640177115848	0.868406673579334	-1.28718981401528	0.0115246265410189	-0.563937173034563	0.316470697334804	-2.30205828255534	5.33940504243797e-06
speD	-0.539214942548812	0.368441539083261	-0.0335028275239759	0.961231097947847	0.544959391335223	0.301685617099498	0.852533685827301	0.071859993708466
speE	-0.367847976789006	0.593888612828619	-0.0689552565759581	0.909904117017424	-0.0638890424171563	0.941794235887031	0.398501391534606	0.440239511468216
yacC	0.19124350300108	0.897572184788384	-0.1331289870611	0.889004067919796	-0.630261291310581	0.513286969893806	1.84481212742122	0.0115838114923523
cueO	-0.195364792341203	0.852323214536714	0.530304377807444	0.424826071617449	-0.56753180713531	0.417519501658372	-0.563442960759751	0.397421864975931
gcd	-0.153059313846479	0.760984631998463	3.00944703053359	2.08128861980616e-29	-0.408179943362992	0.216988007287338	0.949664367494817	0.00153973910804788
hpt	0.805580123690271	0.0146734629128696	-0.223660050485229	0.602553733831666	-0.26316747868028	0.538027056827754	0.769071706292667	0.0351238998293514
can	0.938896190890842	0.173002598772111	-4.2059930453247	6.86313871727323e-12	0.272271173580065	0.770057558814382	-0.341983098221576	0.609453183928771
yadG	0.407607528561174	0.298465064178399	0.43344592894419	0.24453986102616	0.253118053910202	0.531568453895226	-0.833212181343178	0.0199736869573239
yadH	0.181807889512728	0.806934908194225	0.309307804770406	0.517271246099166	-0.785831412527125	0.0735595434023189	-0.65732402580406	0.133826140769306
yadI	-0.459371808439818	0.721155842657941	1.64652119173231	0.20769111356005	0.010173770045681	0.994449030723996	1.66197800484322	0.201290304149538
yadE	1.59149550092126	0.0933892230036954	-0.377162182489369	0.736788085279436	2.01188553519616	0.0165195493648629	0.736044148174241	0.467914989723212
panD	0.177811597130502	0.852298560612154	1.80424459255046	0.200067716916454	-0.765533132430919	0.190478362031774	3.53065133840949	0.00570103873815136
yadD	0.433852879363589	0.713101363759417	-2.28865529026129	0.0111671867806668	0.429308079272304	0.672148731098467	-1.38550157777195	0.12752693577117
panC	-0.273007976374154	0.655183172477714	0.453012110976294	0.296585183132815	-0.43485119438703	0.344256376098215	-0.149200793155128	0.75255516627242
panB	-0.00158280775342421	0.999206997589505	2.20403196840821	0.00482740509108836	-0.111888136642026	0.883164245471144	2.17232735205238	0.00579085266317329
yadC	-2.99012849021973	0.386853514746942	4.51989730477808	0.0700168636631354	-4.21004918880996	0.144325436680982	2.10081850665862	0.455165314683555
yadK	0.620516985595313	NA	2.33627268445851	NA	0.79195800828855	NA	-2.1273403744674	NA
yadL	-0.585679954993021	0.841123979504437	2.44050931381885	0.198790909556637	-2.303582189777	0.221326022179776	-0.0849724639231824	0.971369315858035
yadM	0.564774140531398	0.886895978238645	3.9554025628733	0.11480765511094	3.0011266069242	0.159994346327263	3.15773319003669	0.22478944462514
htrE	1.05399651897195	0.80683066566347	-1.38552417399735	0.610997938547749	-0.421299107245218	0.929440682390512	-6.35115781813748	0.0256314042638367
ecpD	0.620516985595313	NA	-2.33853773340375	NA	6.30564545883873	NA	-0.454741475030202	NA
yadN	0.62051767212364	NA	-2.33854032071791	NA	0.791958884496	NA	-0.456985760918397	NA
folK	2.62807465146349	0.386599074682881	0.635842709813453	0.855723763516276	3.51875699850343	0.155833291027577	4.13689964106981	0.132849555532274
pcnB	-0.464493508261256	0.327692185020817	-0.546241783340462	0.227420884213986	0.996657130656064	0.00426712554213073	1.25356146519189	0.00153203246533782
yadB	-0.141123661118308	0.944334941513172	-1.41171659383717	0.216711144138359	0.325418811704419	0.836098222331379	1.59827584294754	0.130965380626308
dksA	-1.00827051868185	0.000794670188098842	-0.708169306670164	0.0279677584584885	-1.29939950222944	5.44515636016267e-06	-0.343972298280892	0.323395983080799
sfsA	-1.24430605936962	9.28567314471235e-05	0.364024892865476	0.345978031436004	-1.42327435129038	4.5855576803985e-06	0.498504043206548	0.176879324975302
ligT	0.489132740107049	0.744472370854015	-0.559749244703999	0.625658901755038	0.177193019883802	0.917561504562743	-0.0985611222776069	0.936037900209661
hrpB	-0.335809406859635	0.673678232773559	0.739130077736887	0.242540046431984	0.10600462097708	0.910003113817291	1.67844398495677	0.00303187730926017
mrcB	0.246037545625678	0.579286438414883	-0.641176755850397	0.0532972671393484	0.481276836872457	0.129805728785722	-0.19812247053365	0.594692263711657
fhuA	1.35969538473419	0.000955338220979977	-2.43283578699936	8.45003680155577e-11	0.105819658145467	0.895540292645134	-0.00217129763789942	0.996881982758402
fhuC	0.314710456617581	0.915596172615165	-1.54316731060981	0.319977555021609	-0.970687085405899	0.632989786853582	-0.542517762618608	0.742737413425747
fhuD	-0.35382981162384	0.851393243627177	-0.619228564234146	0.619431319211906	-2.25573221943081	0.0498344201304814	0.249474406436149	0.847249361514078
fhuB	0.286960150802527	0.8859135380743	3.9540276916819	0.0479713225239802	-0.266159431281726	0.885783769868277	4.89394100854451	0.0114838094821089
hemL	-0.297361853292284	0.703236864376414	1.10485228650599	0.0535761583031697	-0.468332599253259	0.425883168162571	0.301720185123956	0.64991225337995
clcA	-0.249597303828439	0.716563156095937	-0.958138127237939	0.0145398311631707	0.0874457114106096	0.910960150734704	-1.22286721839239	0.00144850330599197
yadR	0.221565043844009	0.77555957741995	-1.26378771668263	0.00318609693734034	-0.192254238430726	0.788160972214316	0.102487450357759	0.848882348570472
yadS	0.832229490306202	0.691629634943817	0.0548854269683998	0.987526294963657	0.584241178197815	0.7745839420826	3.44641472370311	0.0992228213125536
btuF	0.358953365595192	0.787778149524374	-0.268990822198504	0.827765392864585	0.895350782860484	0.311838139932344	1.51653821853118	0.136095796408627
mtn	0.000392644221061573	0.999206997589505	-0.175000659338649	0.724675940695853	-0.720332471406893	0.0681369953225747	0.799194906155067	0.0502895022541701
dgt	0.487275030495683	0.2741523524041	3.01975863333974	3.02791069901661e-10	0.235382392042877	0.63577210438636	1.40005446039589	0.00869121879359652
degP	-0.56504732078056	0.140486814889003	-0.535067721790924	0.139507972052648	-0.213429793138086	0.643049678003335	-0.494860862643731	0.176879324975302
cdaR	1.08533772175724	0.497546431103723	-6.73090432856759	0.000665558952014353	1.2524715698297	0.344600518973378	-1.64520241088929	0.227799748082644
yaeH	-0.823896505713528	0.14150380018161	1.32391597288557	0.0184797282573944	-1.85215923010115	4.31918406332059e-05	0.667411674552783	0.277553856529601
yaeI	1.11827795477395	0.398015434006762	-2.74015549933197	0.0245561398839858	0.44257906092432	0.778341682724256	0.370788849873679	0.770491010840448
dapD	0.291765369799067	0.633705088049875	0.878515948366147	0.120690838413797	0.264625868259366	0.627101832829058	0.497798390119249	0.416479743433155
glnD	0.305045676805408	0.534349195039604	0.316576682837892	0.405786264060398	1.59669726370624	3.80593479156786e-08	-0.921301770675404	0.00668830726621672
map	0.94837215086848	0.00450680467375963	-0.460434366344702	0.197447047151617	0.885164114686251	0.00788047020842679	-0.90264855309107	0.00651193221980878
rpsB	-0.214291277161538	0.765176501701537	-0.756019668129072	0.0586110931516367	0.808106263817019	0.0628643143941178	0.289707508689316	0.514930589018332
tsf	-0.185022356857577	0.833772431932406	-0.377769750609931	0.478251373862487	1.14177976838349	0.0187137104578302	-0.384103201107602	0.464142337749519
pyrH	0.281755936982306	0.609941101322398	-0.399479766143065	0.305478180576393	1.04771371498558	0.00219472530184806	0.701620525597351	0.0510288411968904
frr	-0.376722020158751	0.31546510402884	0.127280494974669	0.71379818123759	-0.299983651228427	0.396382402900073	0.371705740608707	0.219083176420208
dxr	-0.389522549515848	0.513287122535368	-1.52559995290039	0.000126307138029022	0.0639161306329537	0.933402289873839	-0.936251985754117	0.0255160639369639
ispU	-0.58435977652904	0.485631491805349	1.34180139466357	0.0463881228813196	0.354624682088585	0.664805284051934	0.840164095794576	0.239849678159821
cdsA	0.0424722222849866	0.968196758847053	0.947005041579593	0.09131416656981	0.0947806333950509	0.91742302600007	0.538845241049984	0.370108508431847
yaeL	-0.144804440046486	0.838618408304523	1.49848237456585	0.000359567081292454	-0.383261763151529	0.425418015170924	1.82444699516521	8.66969792937253e-06
yaeT	0.158474601783087	0.639660630473676	1.08989839971553	3.59228406115104e-07	-0.10172995944255	0.76319080560554	1.86581160444269	9.14601486359272e-20
skp	-0.524918491841622	0.242184000904106	1.13908193988044	0.0185211361934661	-0.764887362505035	0.0419083905986738	2.37066462742065	6.69624361250611e-08
lpxD	-0.231721965349819	0.67826668683431	0.246229850882343	0.539649029038406	-0.0610955628195848	0.927413905166472	0.452255943771781	0.219852117936538
fabZ	-0.687168009171374	0.217718667739167	1.19102978308517	0.0100614353760426	0.0284633114549606	0.971623861897097	0.918313957465674	0.0552930533237982
lpxA	-0.995930949846339	0.0424433924015967	0.00873810817436973	0.990663175552177	-0.020913196684287	0.979793192665637	-1.36832983357922	0.0026604195147805
lpxB	-0.361715704110591	0.707091381231139	-0.740656218511063	0.227281463386036	-0.00595619782631582	0.994939696049041	-0.87976241835384	0.142505696498613
rnhB	0.0311953651794578	0.981106285960263	1.26606785081343	0.0719620532000326	0.776922694630094	0.32387701762414	1.05317528961636	0.144093607181072
dnaE	-0.314713215072774	0.517292467109436	0.498640836270142	0.150025316534614	-0.253581897365903	0.568691678949896	0.771397535235568	0.0190778920215888
accA	-0.0555349597017667	0.936010075129463	0.273876111933787	0.50763082810864	-0.0321883346212538	0.95795084045163	0.322604611484	0.420428654978223
ldcC	-0.545420503253518	0.0933892230036954	0.800697901080905	0.00749201250515408	-0.543382999221239	0.0746846637173228	0.478297425378665	0.135614662109132
yaeR	-0.398157512137825	0.515454436171235	-0.48023209195209	0.340869447754708	-1.06598907998244	0.011514497402987	-0.0460739627908341	0.936037900209661
tilS	-0.397120815596628	0.536272379588529	-1.31702439298083	0.0068529725501993	0.322203256019384	0.579874936767551	0.3066740159515	0.573698127516834
rof	0.0927326508596982	0.940875176382886	0.328331205620489	0.633653923535589	-0.761671323317099	0.26153587723065	0.0422400095147112	0.954246715141135
yaeP	-1.23158767602792	0.0659773745089261	0.604402476478952	0.35323053752655	-2.24927103902027	5.91720487704467e-05	-1.71458877219025	0.00321102333891831
yaeQ	0.326166716025651	0.721170352674371	-1.67262737999605	0.00262943183197451	0.741755406866553	0.233972983989387	-0.819765819676819	0.168030447475949
yaeJ	0.756445838620113	0.429049083380601	3.75895004116933	0.00450977073135103	1.06392033852363	0.167107558853447	3.61288760543207	0.00670566579906415
nlpE	0.238542037734913	0.796971029300586	-0.440085712577444	0.497607023270917	0.0654703449335584	0.948862902866371	0.83010530902869	0.156826568519712
yaeF	-0.459156013340684	0.764096118075951	-2.33858105773591	0.411456090970161	0.945173945568749	0.355090330171903	3.79635783050195	0.0487207042992039
proS	-0.077091641092341	0.931636245005851	-0.416996722198371	0.364249724968011	0.0136291504518778	0.986097501579975	-1.79988331153357	3.6944472641104e-06
yaeB	0.327271922225086	0.783034399345621	-0.919482162953838	0.268354709690324	0.919122433413189	0.22988443826058	-0.906034396716806	0.27465881245471
rcsF	0.741194938398265	0.201418004318347	-2.91463063972198	1.62878817773966e-08	0.697296646227131	0.201256269654281	-0.982223889782676	0.0639570586047604
metQ	-0.934079822864363	0.000851291899306858	0.0740275783132882	0.852483480096852	0.524453251141225	0.093119055744701	2.45776434245697	6.87386938341607e-19
metI	-0.882960487790287	0.0847319004460838	-0.589976196729847	0.417391188939593	1.35429714889469	0.00152586635519245	2.91406274993178	1.60083822329561e-07
metN	0.0957940601987706	0.947159413465088	-1.97377164830713	0.015572864122584	3.23094629384459	2.07632029266797e-07	1.42283101401872	0.0670014126603723
gmhB	0.738357074540909	0.376762407932491	-0.834701753677765	0.274977023500347	-0.0990224029236841	0.933402289873839	-0.310328735262577	0.704516193821445
dkgB	0.0586673867145439	0.975097793692894	0.458504699074654	0.723047073041849	-1.66373309635332	0.136483178905046	-0.963767659385529	0.425668369690761
