	WT-0-1	WT-0-2	WT-1-1	WT-1-2	WT-12-1	WT-12-3	3A-0-1	3A-0-2	3A-1-1	3A-1-2	3A-12-1	3A-12-2	3Amk-0-1	3Amk-0-2	3Amk-1-2	3Amk-1-3	3Amk-12-1	3Amk-12-2
yaaW	2.03124754393265	2.46818021764535	2.75291467779062	2.42860556071065	4.02729136635682	1.87868914467555	1.42071062918839	0.850178410020603	1.21217027457205	3.49761968494038	2.19916520207505	3.06305730207819	0.836844392674098	0.70362154407421	2.19743759701098	2.93601252073312	0	2.84795398726289
yaaI	0	0	0	1.55192820055622	0	0	0	0	2.49650004507434	0	0	0	0	0	0	0	0	0
dnaK	11.8147164773038	11.290500033289	8.8461611355808	8.81980845181644	15.4031356165424	15.3568296812033	10.2060450925896	10.2207202201111	10.679298859274	10.7385899761603	8.83536622260431	9.00615072038031	10.3465588071267	10.209689324335	12.047529527483	11.933272006174	10.8699123117444	10.4848279146697
dnaJ	8.98834976132879	8.76745834866597	6.09824974551093	6.38557383979469	11.6737013258913	11.1415769381925	7.79629292585868	7.69875893447521	7.92061686471584	8.14662730822429	5.78259695408547	5.46170439119749	7.96772069316735	7.87120335912728	8.41039680405416	8.44739117467215	7.56374440635106	6.89453678565676
insL	6.94715057105361	6.85610544529363	5.40697830214677	5.97948019828442	9.40537541505402	9.56677442856155	6.10150132064402	6.18006709828466	6.80170983981347	6.58569703376561	5.55751200179073	4.95497049467702	6.50868195782818	6.35317064841011	6.9718050232401	7.2084379500972	6.54735872082132	6.78966168143208
hokC	3.49722130792729	3.67280983678038	5.19032673318909	6.73275218324305	8.41054915315063	8.69111812622335	4.52437101516404	4.30233535934011	6.06743282741278	5.55712323380704	5.32604701824062	5.37772331029468	4.61349350863097	3.96966163456259	0	5.00211805724178	5.98201861352156	4.43735777086147
nhaA	5.85204285008769	5.81358839706755	7.25749438823528	7.74117558644139	6.85440648872166	7.47504753646212	6.32907603530078	6.27217892854797	6.4987505662017	6.27105280015423	8.95272892936247	8.97122460631192	6.2227675840236	6.00810416951622	6.80749209078779	6.97042291874159	6.87988859502929	7.29519472277399
nhaR	6.39516096466063	6.68932259622689	8.19009465107398	7.37973587308374	8.161618187202	8.02312985331307	6.99419653779179	7.13842328072142	6.68085697021455	6.97358884926174	8.70083902992126	8.64013439946462	7.39675755916325	7.45870929281984	7.47506042114966	7.61923395266598	7.94059259850719	7.83259570260316
insB	4.0907070601824	4.85545664503982	5.53090007647656	5.07499698627072	6.84341913969804	5.93205509669229	5.4112627111866	5.63637281548391	5.44871807284757	5.1548657443175	4.07313508768109	3.81841328053365	5.70578270376007	5.63029538462196	6.47447641374197	7.12744960626282	5.91920455961215	6.00816610261372
rpsT	10.7818274240956	11.5361735499065	9.31153791500356	9.70984242713011	8.23414952080407	8.88165271983876	10.9111508220378	11.0366694399243	9.78540754822518	8.57635799321563	6.35683247921674	6.84503801862212	10.8502430348726	11.2039362181812	8.64331739707306	9.62858095919596	11.1499200029999	11.4847547648309
yaaY	1.76415625823212	2.75443749715674	4.48078906847319	4.12399538114639	5.98585025814024	8.30033873483017	1.01810602470988	2.73776951154306	3.7949319005068	1.90302905541823	4.21467027239053	6.18906537609223	2.83819922995203	2.6143379965739	5.57814509926486	2.68315632519764	4.07069763185363	4.90090132216225
ribF	8.22074392314813	8.05510895621755	6.94533681219007	6.76802148935449	8.62729601370703	8.02657717024852	7.6057287137667	7.37051296880254	7.79172599233706	7.40095596700768	8.85471778608653	8.96243916734052	7.68383310316161	7.58089254048471	7.19339438151697	7.69431646363871	8.53054717150732	8.69533152934015
ileS	8.78657553422905	8.44459010610858	8.0103078722342	7.89447264920968	9.5760964067778	9.71967273555946	8.2739897242343	8.13717792460415	8.66129648393915	8.46375143564515	9.22391161948152	9.05426760186865	8.15127911448743	8.16161942641355	8.16724342619151	8.19339183475184	8.33697867708643	8.29534885027979
lspA	6.73912010419089	6.7153674423347	6.9000496080797	6.83123178453829	8.75322822361633	8.73408418278165	6.47815387755259	6.06605678269867	7.24348773023674	6.94406614492341	7.80048525761934	7.40799437629179	6.57507491385589	6.43388693835304	7.15182756990137	6.48810101275735	6.92611959445852	6.7246174358439
fkpB	6.88396948411387	6.11964805884201	6.86615726428995	6.92692679631342	8.89042776852711	9.61224238873386	6.47815387755259	6.5179337751791	6.40218758107819	6.56998590679483	7.75276183968994	7.5771574460916	6.51266084011641	5.86661537562586	6.26657931704383	6.54480788219611	5.46800746362977	6.18327855002545
ispH	5.9730731740113	6.04337259817206	5.55790468256006	3.93705731938066	7.31292355739221	7.14681519138629	5.27416413352655	5.84172663652593	4.41061231176723	4.83819762025683	6.15218945183155	5.72037346662018	5.64693043850505	5.49588935957124	5.01628671672487	4.96725427263943	4.22817600281556	5.04081092321805
rihC	7.24777971691401	6.93497235769015	3.98124865431072	4.25776117959982	5.85127196700212	2.37253753976975	7.56137757116164	7.64749087802413	5.8394583902742	5.98415110554055	3.30397126556787	3.22509503706235	7.12301910342842	6.91654534686754	5.52698725103577	6.24083621030063	4.41487500357731	4.1920435421866
dapB	5.42253382560525	5.52905620295174	4.96656783075642	4.36527147102479	0	0	5.05054432557277	5.14559538384136	5.16539555319095	4.69040500492945	2.36743669867119	3.901441791374	4.80241646375024	4.30015950070667	3.42125362152828	2.20531897452784	4.71494190665603	4.03442084641485
ECDH1ME8569_0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carA	4.44831285897848	4.21777991534506	6.23045773638609	4.88766990751965	2.52494399716234	2.11354564121061	3.87568528983261	3.68801881106102	5.27972400500358	5.77242015828634	1.6925113913784	1.62207260575315	4.44696562465932	4.85442793903989	6.75463539829961	7.05567224473902	6.63331686277178	6.00658645553424
carB	3.42517533646007	3.38298071497921	6.16050007539344	6.05474218669721	3.10959449279928	2.66445050050717	3.24467219768233	3.17069679523509	6.26713442675321	6.10997745117394	2.2371880052946	1.93212582521089	3.45480603417326	3.04323813719284	6.34391449986417	6.31300003945827	7.08828251293899	6.7881376021728
ECDH1ME8569_0032	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72468225921423	3.35130446161377	0	0	0
caiF	4.76789013877893	4.66076943418224	3.30837490428409	5.11236557965893	0	5.47401496852882	3.48619715109401	4.08071645936592	4.55803487578316	3.97948356997566	2.08350768222848	1.14141184435568	4.43925841280852	3.97578774755296	3.67721919461145	2.95371847628799	4.29073490919061	1.37679853051424
caiE	1.64686698082974	0.204313402844346	0.403359392023426	0.613161752423568	0	0	0.325707314104409	0.216152314488569	0	1.0110097190149	0	0	1.09740994160037	0	1.60364644013981	0	0	1.04964038162129
caiD	0.304335349272225	0.851675144236215	0.616479709496773	0	0	0	0.587180457925199	1.19042724227867	0	1.00489921772392	0.968124360056205	0	0.810177547479406	0	0	0	0	0.771765690246139
caiC	2.73865422312248	2.7869430252556	1.83847302208505	0.48833923456714	0	1.15714741878571	2.45393185155964	2.60928148146184	2.06228668640924	1.04395546058168	3.90965266074276	2.2288948992414	2.39565194499459	2.39505096345067	1.295160611107	1.44330069442499	1.8096368187187	2.22107950704305
caiB	4.27487159739824	4.34107333213891	4.25388419438515	3.07935043275137	5.11460961600384	5.92223509007765	4.01593434840976	3.61058987666888	3.02512709389061	3.95729674415124	4.24021844942394	3.07889569298446	3.88098283312623	3.70794469964587	4.53989715053509	4.34029325319407	3.30448014415543	3.57326200453197
caiA	4.2410465032733	4.75270994061729	4.91196958499266	5.40893723498454	5.4602271072386	6.1547180705668	4.53591529134991	4.8199161690084	4.30116769817976	5.24336467532707	4.87886318890857	3.75856651549139	4.72988483454669	4.36688580957222	5.09641870038119	5.82895903006279	5.26571100163021	3.89059680495739
caiT	2.13596846532703	1.62162268253872	1.00483767740779	1.71043468177235	0	1.17748909869691	1.73200383717783	1.467520834645	1.92325729985971	1.95291098455811	1.70364837699111	0	0.454699393924797	1.26733531903281	2.93770539674896	0.477086798663818	0.892725019777605	2.24996161377064
fixA	1.39719802026049	0.43280761724847	1.1611543400362	1.49918904464502	0	0	0.368736250149961	0.993617366847139	3.65366600648597	0.256491743991555	0.636383953318209	2.84680954877681	1.29633383941406	0.905485351010437	1.35786118874719	0	0	2.35078734996638
fixB	0.531833570848514	1.67596953626165	1.2113274416896	0	0	0	1.18347597230654	1.01010427088471	2.08539701796803	0.844988975803453	0.539812503636081	0	1.28099908556242	1.70625047176019	0	0.395245727877796	0	0
fixC	0	0.188686670362111	0	0	0	0	0.081549256432869	0	0	0.15906175457663	0	0	0.431790314336816	0.120593163103093	0.664694534949284	0.299457428163066	0	0
fixX	1.06592966420236	0	0	0	0	0	1.0282141967873	0	0	2.63431649417264	0	0	0	0	0	0	0	0
yaaU	0.960323188340102	1.35194510302068	0.89434905120712	0.865873446654633	0	0	0.837254818778717	2.10396138415085	1.9349073099525	0.838637379621964	1.19135800469701	1.81135475910568	1.06738885800395	0.743205998340973	1.49030102920696	1.87761012023851	1.71085417445355	0.963116546769545
kefF	3.30690697137232	3.02002246091582	3.83635497122189	3.74184009309064	0	4.71154508135322	3.40388466205354	3.03488335307042	4.9382428785413	3.74744251712086	3.0435465428551	2.86701904107809	3.70604189071019	3.17466020938168	2.91166233471177	0.640722136698693	5.13827349565537	5.05114677428341
kefC	3.9313276464316	4.109740479795	4.30583798045066	4.44843480246948	0	4.28319824833367	3.84174325157688	3.756056622914	3.75393351275705	4.30464076526352	2.70194469882003	2.42164000290321	4.14988725418469	4.22548647173012	4.07452356434511	3.7812310798989	4.02913736610751	4.29786947701541
folA	6.07156981472184	6.65102565019973	6.05494741200284	5.73244192371226	7.07745175970754	5.6299254503105	5.67306311131512	6.06491727712714	5.26253706537938	4.56015821235717	7.17204070216941	6.67253098960526	6.28761710988693	6.41438229745182	5.14608062089922	4.3987525799952	5.53559217537253	5.82376763073085
apaH	6.27074614471461	6.76596169203828	5.78860148690063	5.48582353549872	6.91780939618958	6.28728241948265	6.17400233122673	6.34990698760456	4.33911831095646	4.57154816948865	6.33290043947669	6.81508085084509	6.51445523025277	6.31581692369301	6.51160033826698	6.10052376718168	5.37651252947092	5.15003127779671
apaG	4.97952640277184	4.63149079889152	4.98940300635764	5.11000905277604	6.86594290291836	0	5.03904814336455	5.00374843608888	4.38537604368343	2.42370665349389	6.56774574749705	7.11592858100247	5.17170049064308	4.76135534826396	4.11596015873195	3.26896894266462	6.09857657361226	5.30297830357616
ksgA	7.25232751398573	7.42506920125493	6.76616908329575	6.23364642638269	7.10086924639325	6.75460762713412	6.84999890169114	7.07047955886357	6.05495483333437	6.04372581272404	8.1386089222849	8.71982530810494	7.33755995854481	7.10185401583396	7.47596165363965	6.82433366806214	6.89351363682585	6.73330496718244
pdxA	5.73256154461634	5.72655935827408	4.99584399165461	4.34239452497971	1.9105935211525	4.03982546630538	6.05953445524754	5.69894649553861	4.01754384343535	4.95432374724012	4.15700292452868	5.17848618012389	5.60027980522886	5.69417426273009	4.90990030912301	4.92546883137364	4.36909616896375	4.86322959503239
surA	10.3476052415997	9.53670174179705	9.02970228340806	8.93650034863107	8.63649130548197	8.77868062150183	9.48674274220141	9.39320850206109	9.00675991425053	9.01373553976798	9.5372196762556	9.44756890871802	9.39388844678812	9.42222102945025	8.88370123950464	9.03963673087171	8.59330272382432	8.5004370400854
imp	8.80596269214326	8.79689671933973	8.39799229365797	8.4316982018214	8.7835836402719	8.4514258984095	8.42750804254417	8.27235964981977	8.43151696566088	8.30580095071536	9.47128895234762	9.59963211402657	8.34241978154046	8.42823289877091	8.02766272843256	8.12595723456356	8.27693440113736	8.12788980059401
djlA	5.44994249824622	5.58647423192602	3.99573041664531	4.46575847989416	0	1.74102759249195	5.35073288069688	5.41531066953049	5.45685129765475	5.39219337680467	2.51467216032075	3.00413999004307	5.78310858234845	5.58987528251331	4.93248800070756	5.22431894097092	0.613697225100115	3.74411497329491
yabP	5.77342433257515	6.72936590056522	5.15797563481734	5.70610980807025	5.42515163163827	6.37889873765577	6.92054432338744	6.55053413729464	6.38691445865566	6.36358864804677	6.39902780879573	6.95701084661799	6.51621669764464	6.59222562052083	6.45571422627838	6.12646098889441	5.5085864065585	5.71380400193188
yabQ	4.74142738416491	4.21181469960494	3.76446368939934	3.97856774663265	5.14426242019419	3.70299836900705	5.34127973361315	4.80916402145308	5.45524363633215	2.92682994088958	5.77528952487604	5.52522771685958	4.42460059476053	5.03366731651913	4.44910663973107	4.5488417429804	5.47684887512241	5.20143742789072
rluA	4.1327374319893	3.80137540178606	5.20236122824745	6.10467788253546	10.4683124381513	9.95781109517044	3.99718158827472	4.41025261775405	4.91668406086219	2.74035270362586	6.90115824577502	7.27052077520225	4.86963730727488	4.73718219589791	5.23828070060312	5.40545666385153	7.23942832873269	6.99407766310975
hepA	4.9943903856028	5.36813222087474	5.72363091448729	5.51018953891031	10.3167211560612	10.3455081823024	5.15808336313746	5.23289421707932	5.08707175334978	4.57968147868204	7.51604307725501	7.56676931370073	5.3290021777211	5.31854387765805	6.67090103886173	6.44619528825651	7.088837723474	7.06985013741035
polB	3.8953985930761	4.09543587725199	4.97439528036767	5.51456500909004	8.41998177092078	8.81268124221485	4.3490266083611	4.36288713259535	5.66021948414389	5.22077793087633	5.48544398393983	5.41360605402996	4.25110485461795	4.35835962463125	5.84522848603807	6.18633111753986	6.82744237826099	7.0525185843892
araD	0.810772685028446	0.718903247013472	0	0	0	0	0	0	0	0	1.50716936383327	2.53681865201884	1.29375091837524	0	0	1.43629382174797	0	2.21236924560332
araA	1.81329389683541	1.65700733341321	0.763534222056611	0	0	0	0.997058499686234	1.71721174367329	1.35835934670104	0.13725366546843	0.89003555667154	2.0626055149284	1.22924273406035	1.5924553715112	2.17245268630973	2.2488576777912	1.95546103751639	1.63399828851269
araB	1.0350330599545	1.11296855828839	0.534378250897662	1.13491367522803	0	0	0.805704084707534	0.790813114463621	0	0.338651933823933	0	0	0.893718785134116	0.411225135758364	0.339909297741936	0	0	1.69180694104094
araC	2.07880563465027	1.60682755217629	3.06596740662264	3.67251419354247	0	1.66667600967038	2.66998737458977	2.05364514632577	1.0493987146001	2.44288116186001	5.30079281351706	5.6565126990898	2.58035009921477	1.8290245802234	2.25406672715707	2.43050510766369	2.98011185048143	3.03461907435062
yabI	3.04840536373857	3.05086855924992	4.28108146989634	3.83767169636526	5.8614772064963	4.55398862484131	4.15604387703247	2.92941458654969	3.47765332233543	3.38026174623984	4.82680546941127	3.88106226267203	3.03396064729077	4.02269909056352	3.74475893113196	4.11267366538784	4.3780414549129	4.73475195697936
thiQ	3.25707391899441	1.98496373781424	0.628060071885344	0.291473872292995	0	1.90105526030044	1.74657116093065	1.24280539649107	0	0	0	0	2.2793058009959	2.45799818351838	3.16570798357888	0	0	2.20750530107273
thiP	2.37028684996134	2.95480667664208	1.8960161681025	1.89531577715607	0	0	2.08816237665081	2.15026920043016	2.42687361539193	2.05867133736748	0	0	1.52680174427743	2.33330468194498	1.96299297348452	1.30702018296067	1.52597024988484	3.80258020171061
tbpA	3.81989519110507	3.44208819776388	3.22205119928204	2.00785285861709	4.53678124821658	3.13274342412583	3.07962768331959	3.11588433212125	2.26966249109849	2.01758658790266	0	3.04961832818479	3.93175433833372	3.32310516497536	3.5314552561893	2.81440484827243	3.58393366131232	4.0930968454772
setA	3.81874008863037	4.03663782603465	4.10220713517462	3.895697298667	3.67422287475916	0	3.91817967257751	4.43091189139353	4.39532468522619	4.86631187259309	4.30578770525241	4.3746374931822	4.09178865945158	4.46390036614014	3.87023355008892	4.29772835149909	4.71911945806148	4.90054096575313
leuD	5.01590554277935	4.23301778994848	6.01583549540592	5.62329990360798	2.46161198060476	5.85255450600292	7.90008253395491	8.24402050077873	6.68669943391976	6.15589990651534	8.35265476066415	8.59967713786794	6.90381385540234	6.93180467959061	4.56197910048422	4.52644884807377	3.71548673963228	5.18903233520647
leuC	4.66405304916734	4.91038119753933	5.63762316490199	6.14827327550474	5.74555343026105	4.67587572511972	7.55194339290516	7.88530159935037	6.12840581325541	6.3697998234336	8.55803770243103	8.27056854121899	6.28695593159648	6.38353803028138	3.89437042481495	3.75518019172313	4.87819751119535	4.1457525989011
leuB	4.41170874134799	4.77337808529599	5.36603942766583	4.66467694063427	4.3933442875085	4.94300314350989	7.53691409912839	7.79418953468045	5.80452421611655	5.43209683921494	7.71179223743576	7.56596890659	6.46232676975858	6.67101644397724	4.40192815276101	5.40343615277471	4.74154175530342	4.19951736273434
leuA	3.72472614254638	3.48298312309592	3.4759428064515	3.50508168479084	2.6354801538252	4.72996407324618	6.12804902543088	6.20669055207325	3.98215899665783	3.24688560312112	6.85489105055472	6.8559140643288	4.85054571739099	5.21397752288069	3.70864059846738	3.73073397142757	4.06062870280124	2.81437459781775
leuL	3.70779101895709	2.03578768489451	2.92106307152487	0	0	0	5.87377334277779	5.1753375626746	4.80829828425465	2.15334834239299	0	0	1.19556956798735	2.28364523189655	2.63097474193496	0	0	4.51135058372042
leuO	1.61880838557263	0.879951214078856	1.31312451088711	0.406018578592905	0	0	2.26551337843101	1.19504911136029	1.88166369789704	2.9734658335083	2.93702787544128	0	1.39617837252956	1.11445996232156	0.392705728976371	3.1222335184448	0	2.09874821026605
ilvI	6.15930700549916	5.98385783203697	3.64317391441531	4.65148882672628	2.87482992235853	4.46310356418475	4.79321198714915	4.9753078715473	4.61104255522597	5.10409978413266	3.91885383025197	3.41814817552425	5.1782184426051	4.82037961684671	3.87016676393405	2.62369213188042	3.55878592707854	3.18032495097061
ilvH	6.45682867136328	6.2740738261108	4.66744579397082	4.30503427798136	2.71213987464226	0	5.27523717007886	5.42416380921649	5.52072745117854	5.59276830116236	2.99107029104917	2.54924670790458	5.47835267828683	5.64477254974159	3.82431901496949	4.84587813524394	4.28285700533046	3.92015378152881
fruR	7.39879096876086	6.88400212764323	6.21380776536203	5.65875750390589	6.04969110520051	6.11847808822318	7.55457319148299	7.73764806987601	6.94631460375053	6.75122481106625	4.90318028940133	4.95125230126778	7.00508719506563	6.88268771846489	6.04225296751427	6.65604708656431	5.05681414322443	5.66417923377339
mraZ	7.61704958109151	7.41647334772915	7.72791689166604	7.89460473813052	6.58848296173642	7.02359414528309	7.47374998124724	7.67326570109483	8.43317343889859	8.41734953528944	5.48448734893445	6.93936559498498	7.46439048691978	7.19183693255095	7.69420362458886	7.24514748700082	7.484935665598	7.20005896497274
mraW	6.42863169710117	6.77513175244966	7.07442871148609	7.65837754858836	5.37863583863609	5.14972015892359	6.6811571572895	6.59130139882108	6.8769041615427	6.87934308076795	6.36948466842607	5.85250708443274	6.56301388696533	6.38446767510373	6.14735479417402	6.37952602811815	5.66106897395705	5.29516905435533
ftsL	6.87943108270767	7.20375436142688	7.76441657209727	8.00153831734926	6.24119054328032	7.71373421214798	7.08925280545475	6.8753344386742	7.89473323168901	7.79656970221636	8.03681861587609	8.15048587294615	6.96835410517449	6.9921445808524	7.36465542802031	7.39317914375113	6.2602134050709	7.35238831555708
ftsI	5.17200747256306	5.00864832438596	4.38213713019296	4.71379419702325	3.89872295140729	2.68018113188506	5.15915679533491	5.20115408554129	5.43638505900493	4.85878367879867	5.02010092293095	4.56696736667843	4.716203421989	4.70849894439111	4.17394610544501	4.43737178856848	4.36364720246575	4.53535047885937
murE	7.20418893972561	7.08864992885968	6.82726188679273	7.19742641276092	4.92489728445641	5.04954786290748	7.08906933456918	7.03339619689994	6.77720073646988	6.5692508996834	6.21998577045627	5.79598313712037	6.65012084994748	6.89858025120537	6.3194497196986	5.95543813847689	5.85761594669837	5.3999768564437
murF	7.7391674480036	7.39678418601417	7.4600507135438	7.69199833925664	6.4502919522699	6.03797462953616	7.70476316198642	7.49264613205954	7.12458567795969	7.23853555183596	6.53188128456621	6.86558722347141	7.05979175492956	6.93312743101034	7.12699777101986	6.69594062907859	6.16332471285918	5.71839438901873
mraY	7.02577968743074	6.85781096861385	6.73516578969916	7.36517510494571	4.22177049777527	5.60464487635445	6.97191658300401	6.88535644267993	6.99722540570519	6.79418628468409	5.06029405768433	5.01383733006801	6.46569614514224	6.42028560472854	6.04649152128093	6.49335169927901	5.2075834375141	5.87792632059097
murD	7.23243168310095	7.57948587029235	7.27701395980488	6.87302236034301	4.29792388819337	4.8368900594923	7.00270540230459	7.13345836068018	7.11858536037844	7.14294143469984	5.46494130867507	5.79161034220363	6.95519764080297	7.20742871462845	6.58743128244793	6.36420592566817	4.68014776119625	4.46775475519321
ftsW	5.94940322646903	5.6344789213065	5.5217960581837	5.9297884910185	3.2894865538164	4.0316397475917	5.46476525578656	5.54860771115805	6.48459668416798	6.36128115233275	4.81374165921057	4.79965460934113	5.34605087961992	5.43521553406317	4.47080613448715	4.91133440321442	4.35468917350128	4.26945461835381
murG	5.79834481507413	4.84288191415076	5.84543901514067	5.12306701566538	3.48958960344326	3.75805437599416	5.95345891225011	5.89035509202604	5.30437514483433	5.54381241360034	3.74498625593471	5.25224923553935	5.75145904906488	5.16085985755378	4.75236132436184	4.5556147318029	4.99031626233282	4.59050984187382
murC	7.23635257806571	6.8866251364803	6.69607692260698	6.13198114275321	5.82092664205372	4.25794315979677	7.04247630046238	6.89066287482977	6.04386399238142	6.16262352065066	5.57371334225122	5.18059384721508	6.62213279296602	6.83338515174807	6.0401773190375	5.55648301089262	4.96300409470802	4.91331802566949
ddlB	7.52489184496717	8.03531963304555	8.68758338652242	9.06266190511698	6.11326012377543	6.97198842180527	7.44572231421886	7.10538603667589	8.99049059760873	8.61199721277483	7.29840128463864	7.05771421187551	7.30928281234996	7.26006432569364	7.88486047177751	8.39889966731202	7.29848235796161	8.02537671383982
ftsQ	7.89475435111883	8.00197112852624	9.11676377374203	9.05805016344559	6.48810805969061	7.58448804482083	8.0284984541877	8.25830430597143	8.12586500202918	8.31122788990155	6.95350905682175	7.22731211936086	8.34526551432775	8.1876808389843	7.96723802067136	7.58866929710604	7.08019136019924	6.78896980713744
ftsA	8.90516443206428	8.94251542931763	9.68789706235654	10.2296629988008	7.38854678021148	7.1003832634296	9.12757248752419	9.10313658321697	9.43159082377436	9.40543973642191	7.98768011490203	8.10201554597468	9.21289204734305	9.38810810996054	8.88410029030988	9.02829031082536	7.72793633504624	8.16438912787688
ftsZ	9.54189562032668	9.31556811099599	9.35413137588159	9.08852228690305	8.13362762904909	7.97484294782178	9.39105308646918	9.37420438939578	8.53897660122088	8.95296365046582	8.85362731976982	8.6902221521491	9.19783121764504	9.26055170172429	8.65029178428316	7.91093925901622	7.72828836873435	6.84773875906111
lpxC	9.44493985626321	9.55260141345943	9.38405248045227	9.24648260505627	11.4099937147048	10.955325962295	9.44285118417653	9.58379414427448	9.00887760286533	9.13106366502514	9.73820316476707	9.61075253788731	9.40771577522853	9.37996948028084	8.5978397148013	8.47220346642345	9.56218528223519	9.68563345407431
secM	8.00572125869687	8.58227479011149	8.59314864725815	8.27367232645635	9.70164046405216	9.12978717531791	8.11218074119605	8.35336398236636	8.83012931984776	8.48760224466313	7.75126982141627	7.33817601540156	8.57048604696464	8.37702228703694	8.18870756018184	8.39776042560446	8.70286858416496	8.26448866605055
secA	9.65842302471129	10.139095169403	7.46323364695662	7.04874941792677	8.27586735263847	8.52219116757937	9.23121053436953	9.6138806982167	8.33777075883137	8.34468307511142	6.87557311307221	6.79604565179995	9.8884861787449	9.9332425043312	9.01616860099636	8.67953343983054	7.68846175792125	7.17481198515895
mutT	6.72027063945997	7.59107694489968	4.72353791828955	5.45736219858781	6.00106134828088	0	6.73537382064819	6.90439784204238	5.11902868107772	5.82716665293117	3.44155739598768	2.5602466868699	6.94644231124125	6.79313289075741	5.32234658305086	5.36968257235452	5.27485340510258	3.4234295444844
yacG	7.35551470671736	7.27135749877141	5.51643117903806	6.57072911076183	7.11875287915677	6.74421277468532	7.1649646941778	6.99322856007219	6.63713165849381	6.91537623857513	6.76746259844161	6.67668080320958	6.90766381120743	6.24416313534526	6.89390054159177	7.80035372284761	6.4659523453258	7.72650917255612
yacF	6.80064941711937	6.84956769368133	5.72141997043909	5.92454891654707	6.84341913969804	6.42276744521725	6.64801725202033	6.83595342602402	5.91639817301712	5.93277292423585	6.38775871565929	6.7051993368325	6.46538909293663	6.55304097798408	6.51577559114341	6.27828254557888	5.8283868507762	5.52508049168679
coaE	5.29915373993332	5.84830251142307	5.24768192937742	5.05560618489451	5.17773347154418	0	5.44839286734055	5.3734906429137	4.59033642156239	4.94077081235562	6.20876870604092	5.69364088052949	5.25698965936824	5.22175688112747	4.86486270750948	3.8937788242698	4.85131102188449	5.83308557115598
